pokemon_name,pokedex_num,type1,type2
Turtwig,#001,Grass,null
Grotle,#002,Grass,null
Torterra,#003,Grass,Ground
Chimchar,#004,Fire,null
Monferno,#005,Fire,Fighting
Infernape,#006,Fire,Fighting
Piplup,#007,Water,null
Prinplup,#008,Water,null
Empoleon,#009,Water,Steel
Starly,#010,Normal,Flying
Staravia,#011,Normal,Flying
Staraptor,#012,Normal,Flying
Bidoof,#013,Normal,null
Bibarel,#014,Normal,Water
Kricketot,#015,Bug,null
Kricketune,#016,Bug,null
Shinx,#017,Electric,null
Luxio,#018,Electric,null
Luxray,#019,Electric,null
Abra,#020,Psychic,null
Kadabra,#021,Psychic,null
Alakazam,#022,Psychic,null
Magikarp,#023,Water,null
Gyarados,#024,Water,Flying
Budew,#025,Grass,Poison
Roselia,#026,Grass,Poison
Roserade,#027,Grass,Poison
Zubat,#028,Poison,Flying
Golbat,#029,Poison,Flying
Crobat,#030,Poison,Flying
Geodude,#031,Rock,Ground
Graveler,#032,Rock,Ground
Golem,#033,Rock,Ground
Onix,#034,Rock,Ground
Steelix,#035,Steel,Ground
Cranidos,#036,Rock,null
Rampardos,#037,Rock,null
Shieldon,#038,Rock,Steel
Bastiodon,#039,Rock,Steel
Machop,#040,Fighting,null
Machoke,#041,Fighting,null
Machamp,#042,Fighting,null
Psyduck,#043,Water,null
Golduck,#044,Water,null
Burmy,#045,Bug,null
Wormadam,#046,Bug,Grass
Mothim,#047,Bug,Flying
Wurmple,#048,Bug,null
Silcoon,#049,Bug,null
Beautifly,#050,Bug,Flying
Cascoon,#051,Bug,null
Dustox,#052,Bug,Poison
Combee,#053,Bug,Flying
Vespiquen,#054,Bug,Flying
Pachirisu,#055,Electric,null
Buizel,#056,Water,null
Floatzel,#057,Water,null
Cherubi,#058,Grass,null
Cherrim,#059,Grass,null
Shellos,#060,Water,null
Gastrodon,#061,Water,Ground
Heracross,#062,Bug,Fighting
Aipom,#063,Normal,null
Ambipom,#064,Normal,null
Drifloon,#065,Ghost,Flying
Drifblim,#066,Ghost,Flying
Buneary,#067,Normal,null
Lopunny,#068,Normal,null
Gastly,#069,Ghost,Poison
Haunter,#070,Ghost,Poison
Gengar,#071,Ghost,Poison
Misdreavus,#072,Ghost,null
Mismagius,#073,Ghost,null
Murkrow,#074,Dark,Flying
Honchkrow,#075,Dark,Flying
Glameow,#076,Normal,null
Purugly,#077,Normal,null
Goldeen,#078,Water,null
Seaking,#079,Water,null
Barboach,#080,Water,Ground
Whiscash,#081,Water,Ground
Chingling,#082,Psychic,null
Chimecho,#083,Psychic,null
Stunky,#084,Poison,Dark
Skuntank,#085,Poison,Dark
Meditite,#086,Fighting,Psychic
Medicham,#087,Fighting,Psychic
Bronzor,#088,Steel,Psychic
Bronzong,#089,Steel,Psychic
Ponyta,#090,Fire,null
Rapidash,#091,Fire,null
Bonsly,#092,Rock,null
Sudowoodo,#093,Rock,null
Mime Jr.,#094,Psychic,null
Mr. Mime,#095,Psychic,null
Happiny,#096,Normal,null
Chansey,#097,Normal,null
Blissey,#098,Normal,null
Cleffa,#099,Normal,null
Clefairy,#100,Normal,null
Clefable,#101,Normal,null
Chatot,#102,Normal,Flying
Pichu,#103,Electric,null
Pikachu,#104,Electric,null
Raichu,#105,Electric,null
Hoothoot,#106,Normal,Flying
Noctowl,#107,Normal,Flying
Spiritomb,#108,Ghost,Dark
Gible,#109,Dragon,Ground
Gabite,#110,Dragon,Ground
Garchomp,#111,Dragon,Ground
Munchlax,#112,Normal,null
Snorlax,#113,Normal,null
Unown,#114,Psychic,null
Riolu,#115,Fighting,null
Lucario,#116,Fighting,Steel
Wooper,#117,Water,Ground
Quagsire,#118,Water,Ground
Wingull,#119,Water,Flying
Pelipper,#120,Water,Flying
Girafarig,#121,Normal,Psychic
Hippopotas,#122,Ground,null
Hippowdon,#123,Ground,null
Azurill,#124,Normal,null
Marill,#125,Water,null
Azumarill,#126,Water,null
Skorupi,#127,Poison,Bug
Drapion,#128,Poison,Dark
Croagunk,#129,Poison,Fighting
Toxicroak,#130,Poison,Fighting
Carnivine,#131,Grass,null
Remoraid,#132,Water,null
Octillery,#133,Water,null
Finneon,#134,Water,null
Lumineon,#135,Water,null
Tentacool,#136,Water,Poison
Tentacruel,#137,Water,Poison
Feebas,#138,Water,null
Milotic,#139,Water,null
Mantyke,#140,Water,Flying
Mantine,#141,Water,Flying
Snover,#142,Grass,Ice
Abomasnow,#143,Grass,Ice
Sneasel,#144,Dark,Ice
Weavile,#145,Dark,Ice
Uxie,#146,Psychic,null
Mesprit,#147,Psychic,null
Azelf,#148,Psychic,null
Dialga,#149,Steel,Dragon
Palkia,#150,Water,Dragon
Manaphy,#151,Water,null
