pokemon_name,pokedex_num,pkmn,type1,type2
Chikorita,001,Chikorita,Grass,null
Bayleef,002,Bayleef,Grass,null
Meganium,003,Meganium,Grass,null
Cyndaquil,004,Cyndaquil,Fire,null
Quilava,005,Quilava,Fire,null
Typhlosion,006,Typhlosion,Fire,null
Totodile,007,Totodile,Water,null
Croconaw,008,Croconaw,Water,null
Feraligatr,009,Feraligatr,Water,null
Pidgey,010,Pidgey,Normal,Flying
Pidgeotto,011,Pidgeotto,Normal,Flying
Pidgeot,012,Pidgeot,Normal,Flying
Spearow,013,Spearow,Normal,Flying
Fearow,014,Fearow,Normal,Flying
Hoothoot,015,Hoothoot,Normal,Flying
Noctowl,016,Noctowl,Normal,Flying
Rattata,017,Rattata,Normal,null
Raticate,018,Raticate,Normal,null
Sentret,019,Sentret,Normal,null
Furret,020,Furret,Normal,null
Pichu,021,Pichu,Electric,null
Pikachu,022,Pikachu,Electric,null
Raichu,023,Raichu,Electric,null
Caterpie,024,Caterpie,Bug,null
Metapod,025,Metapod,Bug,null
Butterfree,026,Butterfree,Bug,Flying
Weedle,027,Weedle,Bug,Poison
Kakuna,028,Kakuna,Bug,Poison
Beedrill,029,Beedrill,Bug,Poison
Ledyba,030,Ledyba,Bug,Flying
Ledian,031,Ledian,Bug,Flying
Spinarak,032,Spinarak,Bug,Poison
Ariados,033,Ariados,Bug,Poison
Geodude,034,Geodude,Rock,Ground
Graveler,035,Graveler,Rock,Ground
Golem,036,Golem,Rock,Ground
Zubat,037,Zubat,Poison,Flying
Golbat,038,Golbat,Poison,Flying
Crobat,039,Crobat,Poison,Flying
Cleffa,040,Cleffa,Normal,null
Clefairy,041,Clefairy,Normal,null
Clefable,042,Clefable,Normal,null
Igglybuff,043,Igglybuff,Normal,null
Jigglypuff,044,Jigglypuff,Normal,null
Wigglytuff,045,Wigglytuff,Normal,null
Togepi,046,Togepi,Normal,null
Togetic,047,Togetic,Normal,Flying
Sandshrew,048,Sandshrew,Ground,null
Sandslash,049,Sandslash,Ground,null
Ekans,050,Ekans,Poison,null
Arbok,051,Arbok,Poison,null
Dunsparce,052,Dunsparce,Normal,null
Mareep,053,Mareep,Electric,null
Flaaffy,054,Flaaffy,Electric,null
Ampharos,055,Ampharos,Electric,null
Wooper,056,Wooper,Water,Ground
Quagsire,057,Quagsire,Water,Ground
Gastly,058,Gastly,Ghost,Poison
Haunter,059,Haunter,Ghost,Poison
Gengar,060,Gengar,Ghost,Poison
Unown,061,Unown,Psychic,null
Onix,062,Onix,Rock,Ground
Steelix,063,Steelix,Steel,Ground
Bellsprout,064,Bellsprout,Grass,Poison
Weepinbell,065,Weepinbell,Grass,Poison
Victreebel,066,Victreebel,Grass,Poison
Hoppip,067,Hoppip,Grass,Flying
Skiploom,068,Skiploom,Grass,Flying
Jumpluff,069,Jumpluff,Grass,Flying
Paras,070,Paras,Bug,Grass
Parasect,071,Parasect,Bug,Grass
Poliwag,072,Poliwag,Water,null
Poliwhirl,073,Poliwhirl,Water,null
Poliwrath,074,Poliwrath,Water,Fighting
Politoed,075,Politoed,Water,null
Magikarp,076,Magikarp,Water,null
Gyarados,077,Gyarados,Water,Flying
Goldeen,078,Goldeen,Water,null
Seaking,079,Seaking,Water,null
Slowpoke,080,Slowpoke,Water,Psychic
Slowbro,081,Slowbro,Water,Psychic
Slowking,082,Slowking,Water,Psychic
Oddish,083,Oddish,Grass,Poison
Gloom,084,Gloom,Grass,Poison
Vileplume,085,Vileplume,Grass,Poison
Bellossom,086,Bellossom,Grass,null
Drowzee,087,Drowzee,Psychic,null
Hypno,088,Hypno,Psychic,null
Abra,089,Abra,Psychic,null
Kadabra,090,Kadabra,Psychic,null
Alakazam,091,Alakazam,Psychic,null
Ditto,092,Ditto,Normal,null
Pineco,093,Pineco,Bug,null
Forretress,094,Forretress,Bug,Steel
Nidoran♀,095,Nidoran♀,Poison,null
Nidorina,096,Nidorina,Poison,null
Nidoqueen,097,Nidoqueen,Poison,Ground
Nidoran♂,098,Nidoran♂,Poison,null
Nidorino,099,Nidorino,Poison,null
Nidoking,100,Nidoking,Poison,Ground
Yanma,101,Yanma,Bug,Flying
Sunkern,102,Sunkern,Grass,null
Sunflora,103,Sunflora,Grass,null
Exeggcute,104,Exeggcute,Grass,Psychic
Exeggutor,105,Exeggutor,Grass,Psychic
